乘隙,顺便
昆仲,昆玉
先导,前导
暗室逢灯,雪中送炭
凉爽,阴寒
三心两意,左顾右盼
粗暴,粗野
容易,方便
名贵,贵重
回首,转头
水米无交,水米无干
扯谎,撒谎
三番两次,三番五次
痊可,病愈
承当,担负
修理,培修
降价,跌价
履历,经验
身临其境,推己及人
点缀,装饰
预测,预料
衣着,穿着
形踪,形迹
凿凿,确实
惊叹,惊羡
拨弄,盘弄
呕心沥血,费尽心血
肥土,良田
讲明,注解
人浮于食,十羊九牧
刷新,更始
古板,痴呆
辩别,分辩
唾面自干,虚己以听
兰摧玉折,哲人其萎
忽视,大意
坚定,矍铄
消除,清除
挨风缉缝,见缝插针
弃暗投明,去暗投明
倒行逆施,大逆不道
如何,若何
得病,抱病
秋毫无犯,鸡犬不惊
咨询,询问
引导,诱导
分别,分手
四平八稳,面面俱到
摩顶放踵,胼手胝足
饰辞,托辞
告饶,讨饶
内行,能手
讨教,请示
酒酣耳热,酒醉饭饱
唾地成文,脱口成章
天花乱坠,花言巧语
细软,首饰
依据,凭借
落井下石,趁人之危
传颂,赞美
拖延,逗留
怯弱,懦弱
斑斓,鲜艳
战争,构兵
侵害,加害
一心,用心
消除,排出
形式,大局
事故,事情
鸡犬不宁,鸡飞狗走
抵制,阻挡
渲染,衬着
浑然天成,混然天成
猥琐,鄙陋
质地,质料
杜门不出,韬光隐晦
丰衣足食,足食丰衣
上任,就职
心疼,疼爱
吃惊,惊奇
耕作,耕种
挚友,老友
鹤唳风声,风声鹤唳
行刺,谋杀
不约而同,不谋而合
破愁为笑,转忧为喜
评头论脚,评头论足
蓦地,忽然
沉没,淹没
调动,调理
匆忙,匆急
遮掩,掩没
安然,安全
众人,大家
夸张,夸大
坦白,直爽
优点,利益
讨论,辩论
偶尔,权且
夜晚,夜间
闪动,闪烁
凝固,固结
同床异梦,貌合心离
争取,夺取
拉拢,联络
彪炳,杰出
泄漏,揭发
得心应手,轻车熟路
洗浴,陶醉
偷天换日,抽梁换柱
偏私,偏袒
巧舌如簧,巧言令色
博斗,格斗
遣意,遣词
脸颊,面颊
不白之冤,屈打成招
坚决,毅然
娓娓而谈,娓娓动听
路程,路途
一视同仁,不分轩轾
参加,插足
县令,县长
百战百胜,节节胜利
心焦,慌张
泥沙俱下,龙蛇混杂
浓厚,深刻
聘用,聘请
计日以俟,计日以期
以讹传讹,谬种流传
牢固,稳定
妆饰,梳妆
分享,瓜分
珠围翠拥,珠围翠绕
文雅,漂后
优异,优越
物色,索求
沦肌浃髓,铭心刻骨
匍匐,爬行
再犯,累犯
行刺,暗杀
气派,魄力
审察,端相
欲盖弥彰,适得其反
得救,解围
界线,范围
溺爱,疼爱
清楚,清爽
殚精竭虑,煞费苦心
对换,对调
熟手,能手
干扰,干预
倒塌,崩塌
效率,结果
目瞪口张,目瞪口结
恍然大悟,如梦初醒
卧薪尝胆,自强不息
唾手,随手
协议,和议
流动,起伏
兴味,意思
职分,职责
真切,明晰
扶病,抱病
放恣,汗漫
动机,年头
历历可见,历历可辨
吝惜,小器
斜风细雨,牛毛细雨
不矜不伐,不耻下问
扭转,挽回
冉冉,徐徐
漂荡,飘舞
笨嘴笨舌,笨嘴拙舌
铁案如山,铁证如山
不同,例外
冒失,玩忽
固若金汤,铜墙铁壁
苛待,虐待
调动,安排
尽忠,效忠
陨命,逝世
烟火,焰火
断绝,拒绝
合营,合作
轻徭薄税,轻赋薄敛
火上加油,火上浇油
宝物,宝贝
交集,忧虑
讨价,还价
阵列,陈列
劝导,开导
风平浪静,相安无事
如坐针毡,方寸已乱
历来,原来
吩咐,打发
任用,委托
往往,经常
叫喊,叫唤
幕燕釜鱼,幕燕鼎鱼
无聊,无味
扶植,帮助
招降纳叛,结党营私
承受,承袭
庇护,回护
气候,气象
灌入,灌输
小吏,衙役
止戈为武,止戈兴仁
傍晚,入夜
发表,宣告
欣赏,赏鉴
高谈阔论,阔步高谈
含苞欲放,含苞待放
典雅,雅致
拐弯抹角,旁敲侧击
连篇累牍,长篇大论
炎阳,烈日
方式,格局
前方,火线
变节,叛变
盛开,绽放
援救,援助
仓库,栈房
搔头弄姿,搔首弄姿
都城,首都
收缩,退缩
军备,武备
中国,华夏
痛心,酸心
极其,极端
掇青拾紫,腰金衣紫
损坏,破格
恰巧,正巧
探望,看望
浪费,浮滥
颓落,颓丧
恪守,死守
碎首糜躯,碎首縻躯
全愈,康复
烂漫,绚烂
地久天长,海枯石烂
伪物,假货
利用,愚弄
闭门思过,闭门思愆
复原,恢复
冒犯,撞车
呆子,白痴
和煦,温顺
一命呜呼,一病不起
迫害,虐待
绘声绘色,绘影绘声
中午,正午
三街六巷,街头巷尾
引狗入寨,引狼入室
企望,指望
犯罪,罪人
佣金,回佣
采集,收罗
四郊多垒,四面楚歌
破碎,碎裂
儿女,子息
一望而知,彰明较著
心不在焉,漫不经心
悬念,顾虑
旧友,旧交
街谈巷说,街谭巷议
杂沓,错落
有案可稽,有闻必录
生僻,荒僻
吟唱,颂扬
恋慕,仰慕
急忙,即速
醇厚,醇朴
束之高阁,置诸高阁
举动,手脚
精疲力竭,身心交病
构陷,谋害
艰涩,晦涩
一笔不苟,谨小慎微
歌颂,赞颂
负气,使气
决计,立意
瑰异,稀奇
回想,回顾
搅浑,混淆
真切,分明
季候,季节
清闲,空隙
缓解,缓和
堆栈,客栈
宇量,心胸
书籍,竹帛
明哲保身,洁身自好
开头,初阶
伟略,雄图
疲困,疲惫
恰是,正是
序言,引子
醉心,向往
招兵买马,买马招兵
乔迁,燕徙
殚精极思,殚精极虑
挖苦,讥诮
奇异,蹊跷
经久,持久
敏捷,敏锐
幽暗,黯淡
爽朗,开阔
黑灯下火,黑灯瞎火
促成,推进
断梗飘萍,浪迹江湖
装疯卖傻,半痴不颠
洋洋大观,蔚为大观
惊涛巨浪,惊涛骇浪
节略,节减
铜城铁壁,铜墙铁壁
行囊,行李
周旋,对待
勤奋,勤恳
事实,毕竟
风平浪静,一帆风顺
恐怕,惟恐
创剧痛深,创巨痛深
明显,彰彰
盘缠,路费
不拘一格,不落俗套
勤苦,发愤
勇往直前,马不停蹄
有凭有据,言必有据
宽敞,空旷
咨询,筹商
教训,经验
信心,决心
友善,和睦
履约,践约
主要,重要
吉凶,福祸
风度,仪表
思考,斟酌
早晨,朝晨
多多益办,多多益善
延年益寿,祛病延年
勉力,致力
云兴霞蔚,云蒸霞蔚
防备,防止
顽固,顽强
物质,物资
狡诈,奸诈
幸运,庆幸
深远,久远
校服,礼服
恢弘,无边
申述,申诉
距离,隔断
讲究,考究
安放,铺排
熟寐,熟睡
玉玺,王印
厮杀,格杀
老牛舐犊,舐犊情深
提纲,纲领
分袂,判袂
寥寥无几,寥若晨星
责骂,喝斥
称扬,赞美
先河,开端
发生,暴发
仰视,企盼
解职,革职
气冲牛斗,气吞牛斗
醉心,喜好
失守,沦陷
成仁取义,视死如归
流泪,啜泣
发卡,发夹
排除,排出
耐心,耐烦
酒色之徒,酒色财气
成效,成果
主意,主见
强硬,强项
阻拦,阻挠
伸谢,道谢
事故,事件
光明,皎洁
辗转,曲折
信件,尺书
借主,债主
贩夫皂隶,贩夫走卒
档案,资料
甘居人后,甘拜下风
广宽,宽广
强嘴硬牙,能说会道
凯旋,胜利
拘禁,拘系
弃守,沦陷
村夫俗子,村夫野老
伤悼,哀伤
协商,商讨
挂心,牵挂
信用,名誉
雪窗萤几,雪窗萤火
操身行世,立身处世
侦查,考查
但心,不安
发傻,发姣
填塞,充塞
别史,野史
幼稚,稚童
接受,接收
碌碌寡合,落落寡合
分辨,区别
没精打采,萎靡不振
造诣,成就
六神无主,心惊胆落
会见,会晤
熙来攘往,门庭若市
入选,考取
明珠弹雀,大材小用
一切,全体
疑神疑鬼,弓杯蛇影
憨厚,敦厚
相联,联贯
丰富,渊博
校服,制伏
固若金汤,壁垒森严
订交,答应
容身,藏身
出何典记,出何经典
强制,强逼
伤害,欺负
巡回,巡游
元凶,罪魁
惩恶扬善,遏恶扬善
特征,特点
环节,关键
受阻,碰壁
疏漏,马虎
不破不立,兴利除弊
收买,收购
噩耗,噩讯
哈腰,弯腰
家喻户晓,路人皆知
愉快,快意
单刀赴会,单人独马
喜从天降,喜出望外
伟姿,雄姿
矗立,直立
留恋,贪恋
唯命是听,唯唯诺诺
十拿九稳,探囊取物
入款,存款
远走高飞,高飞远举
借字,借据
星火燎原,星星之火
书写,誊录
赠给,送礼
弥远,遥远
训导,训诲
欺善怕恶,欺软怕硬
疲乏,疲惫
企图,准备
一语道破,言简意赅
斥革,革除
拘捕,捉拿
泰初,远古
耳鬓厮磨,青梅竹马
凄厉,凄惨
包涵,海涵
以私害公,以私废公
千丝万缕,千头万绪
济世安民,济世匡时
天气,气象
功劳,功烈
军装,礼服
好像,宛若
搪瓷,珐琅
颁布,宣告
保守,守旧
日月经天,江河行地
怀珠抱玉,怀珠韫玉
精干,老练
覆没,淹没
宣称,宣传
和缓,松懈
交战,构兵
涉世不深,羽毛未丰
使劲,用劲
弹尽援绝,弹尽粮绝
愚钝,迟钝
如期,按期
阴险,险诈
枝词蔓说,枝辞蔓语
到场,参与
宿怨,旧恨
杜口,闭口
断事如神,料事如神
呼天抢地,椎天抢地
学问,常识
仆役,家丁
倾覆,推翻
情孚意合,情投意合
巧舌如簧,能言巧辩
严峻,严苛
悬崖,绝壁
妇姑勃溪,妇姑勃溪
满腹珠玑,满腹经纶
时机,机会
让步,妥协
所向无敌,所向无前
下令,命令
恐怕,或许
点指画字,点纸画字
大志,雄心
保镳,卫士
黑夜,暮夜
本钱,资本
童衣,童装
念书,读书
卧底,间谍
留任,连任
卸任,离任
修建,营建
邯郸学步,步人后尘
伪物,赝品
力不胜任,力所不及
商号,市廛
眺望,瞭望
尸横遍野,饿殍遍野
鞭挞,鞭策
炊臼之戚,炊臼之痛
咎由自取,罪有应得
眉高眼低,眼高手低
食不知味,食不遑味
江郎才尽,江郎才掩
凋落,雕零
仔细,周详
告禀,报告
惶惶,惶遽
妥帖,安妥
束缚,桎梏
不折不挠,不挠不折
严格,严酷
下落,着落
解救,调停
小视,轻视
梦境,梦幻
破钞,花费
作客,做客
有勇有谋,智勇双全
舒服,安适
滴水不漏,纤悉无遗
选拔,选择
公差,衙役
周身,满身
不丰不杀,不多不少
潜形匿迹,潜形谲迹
毛骨竦然,毛骨耸然
指挥,辅导
书信,函件
仁和,平和
当即,马上
位置,地址
一无可取,一无所长
丢失,丧失
意义,道理
官署,衙门
不快,纳闷
悬鹑百结,鹑衣百结
成年累月,经年累月
出色,增光
商榷,筹商
提出,建议
成立,建立
揭橥,揭晓
凤友鸾交,凤友鸾谐
全心全意,赤胆忠心
签订,订立
勉力,激励
尊师重教,师道尊严
厉害,横蛮
向例,惯例
出言不逊,大吹大擂
赠送,馈遗
朝笑,讥讽
名山大川,锦绣河山
津贴,补助
作舍道边,筑舍道傍
招贤纳士,爱才如命
酸楚,酸涩
场面,颜面
大言不惭,大张其词
隔壁,隔邻
入梦,熟睡
一时,临时
晶体,警觉
高人,高手
佛寺,梵刹
人穷智短,人贫智短
松软,软弱
僧人,头陀
局势,步地
建设,设备
期望,冀望
干证,旁证
失礼,无礼
谬误,偏差
招待,款待
假戏真做,弄假成真
尊崇,恭敬
扎脚,裹足
手简,手翰
反响,反应
感激,谢谢
拖沓,邋遢
周至,周详
如出一辙,大同小异
步兵,步卒
革新,维新
以身作则,身先士卒
心悦诚服,心甘情愿
委身,致身
府上,汉典
撒布,散布
至少,起码
餐风饮露,水宿风餐
呼唤,招呼
朝不虑夕,朝不谋夕
泯灭,耗费
人急计生,人极计生
教师,西宾
吠形吠声,随声附和
寻思,陈思
故旧,素交
权利,权益
滋生,繁茂
改俗迁风,移风易俗
路径,路途
见景生情,触景生情
大汗淋漓,汗流浃背
建交,缔交
鞭辟入里,鞭辟近里
觉悟,醒觉
抬举,抬爱
打消,撤销
减轻,减少
好久,良久
迁延,耽搁
会集,聚合
柔肠寸断,柔肠百转
摆荡,挥动
扬铃打鼓,敲锣打鼓
壮健,建壮
埋没,藏匿
大腹便便,脑满肠肥
司理,经理
腌臜,龌龊
防碍,窒碍
屏声息气,屏气慑息
攻打,进攻
行贿,贿赂
吻合,符合
劳神,费心
可乘之机,机不可失
琐屑,零星
情景,现象
叫子,哨子
忖度,忖测
酬报,报酬
后台,靠山
和暖,温暖
姑息,放任
优美,优雅
序言,媒介
往复,往返
激发,激起
同样,相同
怨声载道,怨天尤人
消失,隐匿
失之东隅,得不偿失
动摇,迟疑
宽裕,富有
联合,统一
为虎添翼,助纣为虐
寻根问底,寻根究底
厉兵秣马,盛食厉兵
延揽,招徕
作弄,调侃
部署,安排
界限,鸿沟
沧海遗珠,遗珠弃璧
井蛙之见,一孔之见
条分缕析,言之有序
一五一十,有头有尾
阻拦,阻遏
平步青云,一步登天
胜过,越过
防守,防御
尽头,终点
敬慕,羡慕
珍惜,珍摄
策略,计谋
富裕,浊富
来往,邦交
复杂,繁杂
邃晓,通达
制服,栈稔
抵抗,屈膝
以至,甚至
悬梁,投缳
女织男耕,男耕女织
查办,探求
甜睡,酣睡
不劳而获,不劳而食
东山再起,大张旗鼓
动听,美妙
管辖,统辖
牢记,服膺
生分,陌生
驰骋,奔驰
拂拭,清扫
昭彰,显明
一蹶不振,一泻千里
宏图,蓝图
倒果为因,本末倒置
妥帖,停当
密语,耳语
诬害,诬陷
磨蹭,迟滞
天翻地覆,时移俗易
刺骨,透骨
俄顷,斯须
成亲,成婚
住客,房客
形似,相仿
五彩缤纷,斑驳陆离
朴质,质朴
附属,隶属
充裕,阔气
完善,完竣
技术,技艺
卑下,低下
扼守,据守
众矢之的,千夫所指
凌虐,欺悔
完婚,成家
光顾,照顾
清灰冷火,清灰冷灶
毛手毛脚,马马虎虎
效用,功用
招待,招唤
夫妻,鸳侣
凌虐,残虐
瓦解,解体
丝丝入扣,环环相扣
如蚁附膻,臭味相投
付托,委托
英勇,勇猛
告急,吃紧
辩别,鉴识
绞尽脑汁,千方百计
河溓海夷,河溓海晏
直言不讳,直截了当
强劲,苍劲
宏壮,盛大
宁静,安谧
扩大,扩张
启程,起程
带路,领路
倾国倾城,绝世独立
区域,地区
明争暗斗,明修栈道
溶化,溶解
憎恨,恼恨
透露,显示
妙想天开,胡思乱想
矗立,伫立
哭笑不得,啼笑皆非
低能,拙劣
扶植,树立
情切,靠近
溶化,融化
平庸,平方
聚聚,聚餐
忠告,规戒
偷活,贪生
戴天蹐地,戴清履浊
毫发不爽,恰如其分
深广,精深
三头两面,两面三刀
指示,唆使
宽大,宽绰
蜚短流长,飞流短长
因小失大,惜指失掌
望洋兴叹,爱莫能助
告示,通告
转播,散布
如虎添翼,火上浇油
平坦,平展
恩惠,恩泽
拾人唾涕,装模作样
斑点,黑点
本相,究竟
辛劳,辛勤
坐而论道,纸上谈兵
润肤,美容
浩大,浩瀚
上了贼船,误入歧途
步履,行径
精晓,精通
沁人心脾,神清气爽
党羽,爪牙
道歉,陪罪
杀戮,诛戮
钻冰取火,钻冰求火
构思,构想
回生,复活
溯流穷源,溯流追源
时不再来,时不我与
日日夜夜,昼日昼夜
铭刻,铭记
断根,根除
秀丽,秀气
君子之交,杵臼之交
喧闹,繁华
防备,防范
兵慌马乱,兵连祸结
浑家,老婆
发憷,犯憷
草木皆兵,弓杯蛇影
国色天香,天姿国色
勤苦,刻苦
暗影,阴影
一往无前,披荆斩棘
元配,正室
体认,领路
冲突,顶牛
一唱三叹,绕梁三日
伐毛换髓,伐毛洗髓
急切,蹙迫
韬光灭迹,韬迹隐智
上网,上钩
窘迫,羞愧
抢手,畅销
贫乏,贫苦
告别,握别
言听计从,言听谋决
六畜,家畜
反叛,抗争
阐扬,施展
归还,退回
桑间之音,桑间濮上
愤激,气氛
顺服,投降
利害,强横
残忍,凶恶
岁不我与,时不我待
开放,绽放
妖言,邪言
蛛丝马迹,千头万绪
舍己从人,舍己就人
鞭辟入里,一针见血
伤害,危害
艺林,艺苑
商店,店铺
以力服人,惟力是视
信仰,决心
修筑,构筑
诚心,诚恳
失算,左计
牵涉,牵扯
式样,模样
破绽,缺陷
腐蚀,腐化
掩盖,袒护
费力,费劲
知过必改,知过能改
风餐露宿,跋山涉水
瞒哄,隐瞒
击节称赏,赞不绝口
大姨,阿姨
施礼,见礼
新生,重生
口角,黑白
疑惑,嫌疑
高枕无忧,高枕而卧
信托,信赖
查问,盘诘
和煦,和畅
丢盔卸甲,丢盔抛甲
暂停,休憩
害群之马,残渣余孽
离去,拜别
一长二短,三长两短
庸才,蠢才
蓄意,蓄志
百无一用,百无一是
咎有应得,罪有应得
华而不实,好高骛远
首肯,承诺
荧惑,鼓动
胶卷,菲林
兵士,战士
甜头,长处
寸有所长,尺短寸长
概略,梗概
凋谢,凋射
冒险,浮夸
主食,瞩目
犹如,宛如
审查,查察
潜精研思,潜精积思
注释,评释
一表人才,一表人物
责任,职守
从军,投军
生色,增光
取消,打诨
军服,治服
事务,事宜
搜求,搜寻
祸国殃民,蠹国害民
恋恋不舍,依依惜别
形态,样式
路径,途径
光临,降临
衾影无惭,问心无愧
开怀,畅意
龙腾虎跃,龙马精神
水火不容,方枘圆凿
叶公好龙,言不由衷
量力而为,量力而行
肆虐,摧残
乐极生悲,好景不长
豪华,阔绰
希翼,冀望
大志,壮志
没精打采,无精打彩
卓绝,卓越
推卸,推脱
挑拨,离间
嘲弄,嗤笑
丫头,婢女
停火,停战
正规,正路
假使,尽管
身体,身段
摇动,晃荡
试验,试验
烽火,焰火
匠心独具,匠心独运
执行,推行
分列,布列
悔恨,悔悟
找事,谋事
晓行夜宿,游山玩水
仿制,仿照
温婉,优雅
指使,支使
支持,缓助
强人,铁汉
仰求,请求
脸红耳赤,面红耳赤
接济,缓助
迷路,迷途
铁杵成针,铁杵磨针
念念不忘,念兹在兹
不识一丁,目不识丁
扰乱,打扰
演示,示范
乘虚而入,乘人之危
贪求无厌,贪求无已
景象,地步
掩瞒,隐瞒
退换,转换
尽兴,纵情
粗枝大叶,丢三落四
鄙夷,漠视
快人快语,快嘴快舌
振动,颤动
选派,遴派
时常,每每
冒昧,唐突
慷慨,高亢
天后,平明
转死沟壑,转死沟渠
太平,安好
耳食之论,耳食之谈
事不宜迟,当务之急
骇人听闻,骇人视听
出口伤人,血口喷人
挨风缉缝,捱风缉缝
穷奢极侈,酒池肉林
平淡,平常
己方,自己
喽啰,走狗
吐露,揭发
应有尽有,巨细无遗
不屈,不服
眼观六路,八面玲珑
宏放,旷达
公馆,私邸
宰相,首相
屈驾,移玉
残兵败将,虾兵蟹将
发奋,奋发
奉行,履行
会计,管帐
劳累,劳碌
观者如堵,观者成堵
接连,继续
依靠,寄托
轻慢,怠慢
流畅,通畅
伏贴,妥善
常日,平素
垂垂,渐渐
汗如雨下,汗流浃背
恩仇,恩怨
电扇,风扇
囊萤映雪,孙康映雪
观机而作,观机而动
忠言,针砭
润泽,滋润
人死留名,永垂不朽
相机而动,观机而动
摇嘴掉舌,花言巧语
危急,仓皇
公理,正义
同利相死,同恶相济
遥望,遥看
倘佯,踯躅
盲眼,瞎眼
同伴,朋侪
震耳欲聋,龙吟虎啸
打倒,推倒
殊涂同归,不谋而合
片刻,斯须
干涸,干燥
火油,煤油
捏造,编造
千回百折,千回百转
客居,旅居
必要,需要
仆人,家丁
受愚,受骗
饱经忧患,饱经风雨
如坐春风,春风化雨
情随事迁,水涨船高
平正,公平
怅然,惘然
脸色,颜色
内部,里面
气贯长虹,气吞山河
兢兢业业,敬小慎微
中选,当选
神出鬼没,神妙莫测
富贵,荣华
分割,离散
制定,拟订
刻画,描写
湮没,隐秘
借古喻今,援古证今
猛虎出山,猛虎下山
抑郁,烦闷
决裂,割裂
挑衅,离间
餐风宿草,餐风宿露
半夜,更阑
老夫,老汉
代办,代庖
嫁犬逐犬,嫁狗逐狗
改进,更始
物业,财产
军器,军械
拜谒,访问
珍宝,至宝
呐喊,大喊
狰狞,凶残
亡国之音,靡靡之音
应当,理当
散播,流传
忘掉,忘记
漫溢,迷漫
啼饥号寒,饔飧不继
防患,预防
复兴,收复
大众,大家
公之于世,公之于众
白衣卿相,白衣秀士
悲壮,豪壮
云消雾散,烟消火灭
原先,原本
完稿,脱稿
带月披星,披星带月
心惊肉跳,心惊胆落
开展,进展
能伸能屈,能屈能伸
千秋万代,百岁千秋
粗俗,鄙俗
弘愿,壮志
传扬,张扬
参半,各半
平定,平息
稠人广坐,高朋满座
花卉,花草
本地,腹地
搪塞,支吾
性质,本质
要紧,重要
避讳,隐讳
熟习,老成
一言九鼎,驷马难追
端方,端正
淹死,溺死
冲破,突破
聚会,聚首
推断,测度
显要,贵显
妖术,邪术
签署,订立
参预,插足
望而却步,缩手缩脚
言无不尽,和盘托出
荒芜,荒废
低级,初级
屈折,盘曲
栩栩如生,呼之欲出
受命,奉命
拖泥带水,拖拖拉拉
尺寸之地,尺山寸水
公众,民众
无望,绝望
戳穿,拆穿
大路,大道
剩余,糟粕
下贱,轻贱
告示,布告
怠忽,粗心
急躁,焦躁
执拗,执著
屏绝,绝交
拥堵,拥挤
完全,实足
茶余酒后,茶余饭饱
疏忽,粗放
憨态可掬,肥头大耳
难受,难堪
信号,暗号
惬心,满意
妥贴,得当
溢美之言,过甚其辞
小巧,精巧
珍禽奇兽,珍禽异兽
侵害,侵吞
假若,要是
照应,看护
警备,防卫
统治,处理
刚烈,猛烈
利落,干净
完好,完备
优劣,好坏
挥泪,洒泪
屡犯,累犯
谄媚,趋附
删除,简略
容易,单纯
寻求,找寻
拘谨,拘束
相通,雷同
辛苦,劳顿
极恶穷凶,穷凶极恶
显而易见,彰明较著
福气,福泽
初叶,开始
和尚,梵衲
那边,那里
践踏,踩踏
荡垢涤污,伐毛洗髓
棘手,辣手
光临,光降
搏斗,斗争
困穷,拮据
叨教,指导
考试,测验
侵占,抢掠
截长补短,集思广益
代人受过,火中取栗
从前,过去
健全,健康
局促,短促
欢欣,高兴
失守,失陷
同时,同期
私人,私家
离乡背井,背乡离井
味同嚼蜡,味如嚼蜡
工巧,精细
开疆拓境,开疆辟土
剽悍,强悍
顺心,通顺
诛讨,征讨
消耗,花消
妥首帖耳,见利思义
辨别,识别
搬弄,摆布
俭朴,简扑
夫妻,佳偶
家长礼短,家长里短
禁闭,并拢
一目十行,字斟句酌
立足,驻足
东洋,东瀛
妨害,荆棘
稳固,不变
深恶痛绝,疾首蹙额
灯红酒绿,花花世界
战败,败北
暴跳如雷,气急败坏
赤膊上阵,轻装上阵
领悟,融会
任性,肆意
镇静,安静
拜托,托付
打趣,玩笑
毕命,毙命
包围,笼罩
叩谢,致谢
创设,开办
爱鹤失众,老鹤乘轩
阴冷,阴凉
伺候,侍候
分开,张开
如法炮制,依样葫芦
惊心动魄,触目惊心
微言大义,微言大谊
不劳而获,尸位素餐
降落,降下
机敏,机警
友谊,交谊
跨越,超过
同床异梦,貌合神离
拜见,拜访
倒楣,倒霉
拒狼进虎,拒虎进狼
冰冷,酷寒
可靠,牢靠
限定,截至
口角,曲直
传递,转达
严穆,正经
轻渎,亵渎
缺乏,不足
成千上万,盈千累万
契约,合同
郢人斤斫,郢人斫垩
同归殊涂,殊途同归
宴会,宴集
卓着,优越
焦急,恐慌
轨则,端正
放龙入海,放虎归山
嘹后,高昂
校订,订正
正途,正轨
边沿,边缘
负乘斯夺,负乘致寇
桀傲不驯,桀骜不逊
并吞,侵吞
扣留,拘留
不知疼痒,不知痛痒
无所适从,进退失据
教室,讲堂
忠心,诚意
稀有,罕见
山珍海味,珠翠之珍
总角之交,竹马之交
守口如瓶,张口结舌
各样,各种
典范,规范
六亲不认,安忍无亲
不容置喙,不由分说
豁达,旷达
存心,蓄谋
新闻,信息
抱残守缺,陈陈相因
俭仆,俭省
鼓舞,唆使
熟视无睹,视若无睹
创制,创建
人琴俱亡,人琴俱逝
揭橥,发布
扶危持倾,扶颠持危
堆集,积聚
偏私,偏颇
失约,背约
居安思危,有备无患
出售,发卖
奸笑,狞笑
夭折,早死
归心似箭,归心如箭
晚上,夜间
擦掌磨拳,跃跃欲试
唯命是从,唯唯诺诺
背信,爽约
推诿,推辞
惨酷,严酷
排击,排击
代劳,代庖
储存,储蓄
行家,里手
抉择,遴选
灼热,炽热
死灰复燃,重振旗鼓
忠厚,敦厚
小视,蔑视
扩大,放大
北辕适楚,背道而驰
明朗,辉煌
堂而皇之,明火执仗
凡夫,小人
亲友,亲朋
凝眸,凝视
清澈,清新
唇焦舌敝,舌敝唇焦
鳌掷鲸吞,鳌掷鲸呿
震古烁今,震古铄今
反复,重复
大手大脚,开源节流
昏黑,暗淡
沥胆濯肝,沥胆隳肝
无地自厝,无地自处
亡羊补牢,顾犬补牢
推命,推步
樗栎庸材,碌碌无为
小题大做,舍近求远
留下,留住
熟手,熟稔
俊秀,俊俏
从天而降,突如其来
灭绝,枯萎
生意,贸易
树德,立德
离职,辞职
保护,维持
众人,世人
有目共赏,口碑载道
力不能及,蚍蜉戴盆
撤废,铲除
聱牙诘屈,聱牙诘曲
半死不活,不死不活
采取,选择
利欲熏心,利令智昏
愤慨,怨愤
开云见天,开云见日
逃脱,逃走
申报,陈诉
阵亡,殉难
即日,克日
迁延,稽延
一手一足,单枪匹马
指名道姓,直呼其名
门可罗雀,门庭冷落
舞文弄法,舞文玩法
首尾相卫,首尾相援
明婚正娶,明婚正配
嚣张,疯狂
包庇,偏护
缩小,缩短
格式,花样
元勋,功臣
问候,存问
虚无飘渺,镜花水月
校订,校正
贪杯,贪酒
寸草不留,斩草除根
征采,搜集
依约,如约
云开日出,雨过天晴
赠给,赏赐
车载斗量,连车平斗
说古谈今,谈今论古
操戈入室,操矛入室
观赏,观摩
按部就班,遵厌兆祥
遗臭万年,遗臭无穷
战栗,颤抖
老牛舐犊,爱子心切
笨重,粗重
三江七泽,三江五湖
面有菜色,鸠形鹄面
休息,憩息
工力悉敌,势均力敌
诲人不倦,谆谆教导
伴随,追随
分别,划分
流露,走漏
评比,评选
郑人买履,生搬硬套
教导,教学
劫持,要挟
令媛,千金
道殣相属,道殣相望
察言观色,鉴貌辨色
一日万几,一日万机
假心,假意
摆显,炫耀
决绝,断交
响遏行云,震天动地
水到渠成,顺理成章
光泽,色泽
大笔如椽,力透纸背
凶年,歉岁
仆人,佣人
警员,警察
趋奉,市欢
三妻四妾,三宫六院
轻慢,慢待
东徙西迁,东迁西徙
四面受敌,左支右绌
寓目,过目
勉慰,宽慰
人山人海,人头攒动
倡议,呼吁
经书,经籍
孀妇,寡妇
叫嚣,吆喝
幽灵,幽魂
夸奖,表彰
抗御,防范
日常,一般
活动,活跃
古井无波,心如古井
竞争,比赛
叩首,叩头
文章,著作
收关,结尾
鱼游沸釜,鱼游沸鼎
助人下石,助纣为虐
毁不危身,毁不灭性
精打细算,持筹握算
卑辞厚币,卑辞厚礼
下车伊始,新来乍到
垂问,照顾
相遇,邂逅
心不在焉,心猿意马
勾搭,勾串
杀身成仁,铁面无私
闭幕,收场
发明,独创
清闲,闲散
谈天,闲聊
削弱,衰弱
愚见,浅见
忽忽不乐,怏怏不乐
鼎峙,鼎立
懒散,散漫
窥察,窥探
侵犯,侵凌
坦白,率直
舍本求末,劳民伤财
山鸣谷应,遥相呼应
清理,清算
衰微,陵夷
佐理,助理
企望,祈望
广博,广泛
泣不成声,泪眼汪汪
披垂,披散
乱七八糟,乌七八糟
起点,开始
舍弃,断念
光华,光芒
哭笑不得,不尴不尬
糊涂,昏迷
刚毅,坚贞
学富五车,殚见洽闻
中断,停滞
声响,声音
深厚,深邃
春和景明,风和日丽
笃定,确定
养尊处优,娇生惯养
财富,金钱
本身,自己
恬淡,淡泊
提神,留意
匠心独具,独具匠心
东遮西掩,遮遮掩掩
影影绰绰,模模糊糊
撤除,退却
