疑惑,疑虑
亚肩叠背,亚肩迭背
永久,永恒
运拙时乖,运拙时艰
妖言惑众,异端邪说
医师,医生
一孔之见,一隅之见
一伙,疑忌
一连,延续
一语中的,一针见血
引诱,诱导
一语道破,一针见血
纡朱怀金,纡青拖紫
因由,由来
阴司,阴曹
友情,有爱
鸦飞雀乱,鸦飞鹊乱
一笑了事,一笑置之
溢美之言,溢美之语
羊入虎口,羊落虎口
郢人斤斫,郢匠挥斤
遗嘱,遗愿
意味深长,言不尽意
腰缠万贯,腰缠十万
遗臭万代,遗臭万年
一知半解,眼光浅短
言而无信,言而有信
一言不发,一言半语
掩盖,隐没
以义割恩,以义断恩
摇动,摇拽
预感,预料
意义,意思意思
一线生机,一线生路
湮没,荫蔽
犹疑,犹豫
药品,药方
有案可稽,言必有据
一肢一节,一肢半节
余裕,裕如
一清二楚,一清二白
鱼惊鸟散,鱼溃鸟离
杳如黄鹤,杳杳无踪
偃旗仆鼓,偃旗卧鼓
一代不如一代,一蟹不如一蟹
一阶半级,一阶半职
云屯星聚,云屯雨集
依然故我,原封不动
缘由,缘起
引以为戒,殷鉴不远
舆论,言论
允许,应承
一五一十,原原本本
衣服,衣着
延迟,贻误
意料,预见
引导,引诱
野蛮,野蛮
隐没,隐藏
雍容大度,雍容尔雅
掩饰,隐瞒
一举成功,一蹴而就
一稔,衣着
依违两可,游移不定
意思,有趣
幽魂,阴魂
延宕,延误
原委,源委
一决雌雄,一较长短
一稔,衣裳
优柔寡断,犹豫不决
延伸,延迟
烟土,鸦片
诱拐,诱骗
媖娴,媖嫺
以来,倚赖
月事,月经
移樽就教,移船就教
以碫投卵,以长攻短
预付,预支
雍容大雅,雍容尔雅
夷由,犹豫
忧心如焚,忧心忡忡
一溜,一瞥
一丝一毫,一针一线
言听事行,言听计行
由浅入深,由表及里
言不二价,言无二价
一字千金,一字千钧
以一当十,用一当十
英俊,英隽
与世俯仰,与世沉浮
原因,因由
一溜,一行
一日千里,一朝千里
远处,遥远
隐瞒,隐秘
要地,要隘
因由,缘故
一丝不紊,有条有理
鱼沉雁静,鱼沉鸿断
一拍即合,一点钟情
以夜继日,以夜续昼
研究,议论
怨气冲天,怨气满腹
一面之交,一面之缘
浴血奋战,迎头痛击
言行一致,言行若一
一差两讹,一差二误
一目了然,映入眼帘
原故,缘故
意在言外,溢于言表
遗闻琐事,遗闻逸事
阴恶,阴险
饮鸩止渴,饮鸩而死
偃旗息鼓,掩旗息鼓
遗编断简,遗编绝简
有口难言,有口难辩
养虎留患,养虎贻患
以弱胜强,以强凌弱
依偎,依靠
以莛叩钟,以莛撞钟
一丘之貉,一路货色
音书,音讯
预想,预料
一见如故,一见如旧
叶落归根,衣锦还乡
要冲,要路
有条不紊,有条有理
逾淮为枳,逾淮之橘
遗簪堕履,遗簪弊履
贻害无穷,遗患无穷
偃武修文,偃武兴文
隐晦,隐约
阴事,阴私
烟消云散,烟消雾散
一拍即合,一见如故
援救,营救
应刃而解,迎刃而解
严密,严紧
一介不取,一介不苟
样品,样板
压制,压榨
一共,一切
有力,有劲
援手,援救
雍容尔雅,雍容文雅
油头光棍,游蜂浪蝶
幽微,隐微
倚门卖俏,倚门卖笑
扬武耀威,耀武扬威
一反常态,一反既往
严惩不待,严惩不贷
一无所得,一无所有
一槌定音,一锤定音
预订,预订
一会儿,已而
一时半刻,一时半霎
原故,因由
饮水思源,饮水辨源
臆度,臆想
一排,一溜
一世之雄,一世枭雄
偃兵脩文,偃武修文
爷羹娘饭,爷饭娘羹
源清流净,源清流洁
玉石不分,玉石俱焚
源由,缘故
一官半职,有职有权
原因,因为
遗编坠简,遗编绝简
雅人深致,雅人清致
圆顶方趾,圆颅方趾
有效,有用
夭厉,疫疠
挹彼注此,挹盈注虚
言简意赅,言近旨远
运载,运输
纡佩金紫,纡青佩紫
严刑峻制,严刑峻法
鱼升龙门,鱼跃龙门
一边,一面
一言中的,言中事隐
有始有卒,有始有终
严以律己,引咎自责
言从计听,言从计纳
一言半字,一言半辞
运筹决策,运筹设策
义不容辞,义无返顾
以卵击石,以卵投石
一哄而上,一哄而起
有目无睹,有眼不识泰山
压榨,压迫
隐痛,隐衷
一哄而起,一应而起
鱼烂取亡,鱼烂而亡
逸闻琐事,逸闻琐事
仰望,仰视
幽闲,悠闲
严明,严正
一语破的,要言不烦
允诺,原意
以白为黑,以黑为白
应对如响,应答如响
一得之功,一得之见
一律,一样
映现,涌现
疑人疑鬼,疑神疑鬼
用处,用途
意想,意料
以强凌弱,倚势凌人
一石二鸟,一箭双鵰
浴室,浴池
以是,因而
愚昧,愚笨
养痈成患,养痈贻患
洋洋得意,洋洋自得
以冰致蝇,以狸致鼠
药剂,药品
怨尤,怨恨
燕舞莺啼,燕舞莺歌
言行一致,言行相顾
杳如黄鹤,杳无音信
议论纷纭,议论纷纷
一经,已经
鹬蚌相争,鹬蚌相危
言而不信,言而无信
隐隐约约,隐隐绰绰
语重心长,语长心重
有权有势,有钱有势
宜喜宜嗔,宜嗔宜喜
燕巢于幕,燕巢飞幕
衣租食税,衣食税租
一语破的,言必有中
一泻千里,一落千丈
遗臭万年,遗臭千秋
曳尾泥涂,曳尾涂中
隐瞒,隐蔽
郢人运斤,郢匠挥斤
勇往直前,英勇顽强
引去,引退
倚赖,衣服
羊很狼贪,羊狠狼贪
怡然自乐,怡然自足
有求必应,有问必答
蕴含,蕴藏
隐私,隐衷
一笔勾销,一笔抹杀
一语道破,要言不烦
忧伤,忧闷
一望而知,一览无遗
溢于言表,言外之音
摇动,犹豫
炎夏,炎暑
优伤,忧郁
睚眦之怨,睚眦之隙
严俊,严肃
轶类超群,轶超绝类
逸事,逸闻
要塞,要隘
一秉大公,一秉至公
遗簪坠履,遗簪弊履
怨声满道,怨声载道
原原委委,原原本本
研精究微,研精阐微
有条不紊,有板有眼
油嘴滑舌,油头滑脑
一板一眼,依样葫芦
一丝一毫,一星半点
言不顾行,言不顾行
郢人斫垩,郢人运斧
一得之功,一得之愚
一草一木,一针一线
央浼,要求
要旨,要求
仰人鼻息,养尊处优
有加无已,有增无已
永久,永远
睚眦之怨,睚眦之恨
玉碎花消,玉碎香消
有口无行,言行不一
云净天空,云过天空
一语破的,一语道破
夜静更深,夜静更阑
与狐谋皮,与虎谋皮
一日千里,一泻千里
悠游自在,悠闲自在
一了百了,一笔勾销
一泻千里,一泻百里
余暇,幽闲
吟哦,吟诵
欲擒先纵,欲擒故纵
疑云,疑团
鱼龙曼衍,鱼龙漫衍
一概而论,一褱而论
一举两得,一箭双雕
言方行圆,言行不一
一尘不染,一干二净
一成不变,一潭死水
掩耳盗铃,掩鼻偷香
一差二误,一差二错
余裕,盈余
遗臭千年,遗臭无穷
夷愉,愉快
以逸击劳,以逸待劳
言之成理,言之有理
衣冠枭獍,衣冠禽兽
以守为攻,以退为进
养虎贻患,养虎遗患
阴雨,阴霾
以汤止沸,以火止沸
妖冶,妖调
幽深,幽邃
饔飧不济,饔飧不给
蚁穴坏堤,蚁穴溃堤
优点,益处
一无所有,一无所获
盈余,盈利
鳏寡孤独,鳏寡茕独
原始反终,原始见终
一会儿,一霎
优哉游哉,悠闲自在
摇曳,摇荡
一下子,一忽儿
预想,预见
一板一眼,一板三眼
淹没,湮灭
一掴一掌血,一鞭一条痕
有条有理,有板有眼
雨蓑烟笠,雨蓑风笠
衣绣夜游,衣绣夜行
异乡,异地
依托,依靠
与日俱增,雨后春笋
一刀两断,一刀两段
一言为定,一言九鼎
摇尾涂中,曳尾涂中
养痈遗患,养虎遗患
义形于色,义正词严
应付,应酬
衣锦昼游,衣锦昼行
有名无实,有声无实
迎刃冰解,迎刃而解
以假乱真,鱼目混珠
颖异,颖慧
摇头幌脑,摇头稾脑
鱼沉雁杳,鱼沉雁静
掩恶扬善,隐恶扬善
怡然自乐,怡然自娱
一派,一片
一把手,一霸手
运斤如风,运斤成风
燕语莺啼,燕语莺声
幽深,幽静
映雪囊萤,映雪读书
优秀,优良
遥不可及,遥遥无期
仰制,压抑
阴沉,阴郁
延宕,贻误
一挥而就,一蹴而就
依依不舍,依依惜别
摇尾乞怜,摇尾求食
掩盖,隐敝
依丱附木,依草附木
义无反顾,勇往直前
一波三折,一波又起
应接,迎接
也罢,亦好
严格,严穆
一蹴而就,迎刃而解
严峻,严重
雨零星乱,雨零星散
饮冰茹蘖,饮冰食蘖
逸闻趣事,逸闻轶事
依偎,倚靠
依靠,倚赖
营建,营造
窈窕,窈窱
一向,一贯
疑义,疑难
一会儿,一忽儿
言不尽意,言外之意
月事,月信
优异,优良
优孟衣冠,鹦鹉学舌
阴森,阴沉
言行一致,言行抱一
隐秘,隐蔽
易于反手,易于反掌
扬威曜武,扬武耀威
诱惑,诱骗
一掷千金,一掷百万
严密,严谨
一诺千金,言而有信
有益,用意
鱼游釜中,鱼游釜底
夷犹,犹豫
一掷千金,一掷巨万
一丝,一点
饮水知源,饮水辨源
养分,营养
虞渊,隅谷
远井不解近渴,远水不解近渴
优秀,优越
应付自如,游刃有余
严峻,严肃
一人得道，鸡犬升天,一人飞升，鸡犬升天
仰赖,依赖
洋囝囝,洋娃娃
咬紧牙关,咬起牙关
摇席破坐,摇席破座
应答如响,应答如流
运筹决胜,运筹帷幄
燕昭好马,燕骏千金
一泻万里,一泻百里
仰制,抑遏
悠游自在,悠然自在
鱼游沸釜,鱼游釜底
夜静更深,夜静更长
眼尖手快,眼疾手快
严正,严肃
意气焕发,意气风发
原谅,宥恕
运策帷幄,运筹帷握
遗文轶事,遗闻逸事
一往情深,一往而深
严俊,严酷
一脉相承,一脉相通
因袭,沿袭
一命归西,一瞑不视
一无可取,一无是处
隐敝,隐秘
一声不吭,一声不响
阴晦,阴霾
一了百了,一劳永逸
以逸待劳,养精蓄锐
一面之交,一面之识
言笑自如,言笑自若
贻人口实,遗人口实
圆顶方趾,圆首方足
偃旗息鼓,迎风招展
洋洋洒洒,洋洋纚纚
原由,源由
鱼跃鸢飞,鸢飞鱼跃
摇拽,摇荡
一溜烟,一转眼
掩没,隐瞒
以言取人,以辞取人
映月读书,映雪读书
原封不动,原封未动
沿门托钵,沿门持钵
怏怏不乐,悒悒不乐
有目无睹,有眼无珠
一扫而光,一扫而空
一命呜呼,与世长辞
一棒一条痕,一鞭一条痕
言听计从,言行计从
忧郁,郁闷
以德报德,以德报怨
摇摆,摇晃
远处,远方
依然如故,依然故我
遗簪坠珥,遗簪脱舄
一举成名,一飞冲天
一辞同轨,异口同声
以夜继日,夜以继日
玉石俱摧,玉石俱碎
扬威曜武,耀武扬威
迎刃以解,迎刃而解
一代宗臣,一代鼎臣
阴冷,阴寒
愚昧,迂曲
远在天边,遥遥在望
冤家,怨家
一块,一起
一心一意,一心无二
压制,要挟
一跌不振,一蹶不振
一言半句,一言半语
以古为鉴,以古为镜
意志,意识
一声不响,一言不发
要而言之,要而论之
一孔之见,眼光浅短
游刃有余,运斤成风
依本画葫芦,依样画葫芦
于是,因而
意义深长,意味深长
抑制,约束
云端,云表
以卵投石,以指挠沸
一切,一齐
御沟流叶,御沟红叶
言之成理,言必有据
遥遥在望,遥遥无期
一清二楚,一览无余
应承,应许
优待,优遇
一拍即合,一见倾心
一至于斯,一至于此
余音绕梁,莺舌百啭
一夫一妻,一家一计
一览无余,一览无遗
应付,应对
悦目,雅观
颐养精神,颐神养气
揠苗助长,欲速不达
一仍旧贯,依然如故
因势利导,因地制宜
与日俱增,有增无已
一见倾心,一顾倾城
轶事遗闻,轶闻遗事
以疏间亲,远不间亲
远水不救近火,远水解不了近渴
掩盖,掩饰
一本正经,义正辞严
一卧不起,一病不起
有恃无恐,有恃毋恐
一望无边,一望无际
一客不烦二主,一客不犯二主
言外之味,言外之意
舆情,言论
吁请,央求
元凶,元恶
影射,隐射
云窗月帐,云窗霞户
养虎留患,养虎遗患
言近旨远,语重心长
一以贯之,有始有终
一伙,一齐
衣绣昼行,衣锦昼游
以蠡测海,以锥刺地
仰人鼻息,依人作嫁
移宫换羽,移花接木
隐蔽,隐藏
一家之论,一家之辞
一成不变,依样葫芦
压抑,抑遏
由衷之言,言不由衷
幼芽,幼苗
倚官仗势,倚财仗势
源于,由于
应接如响,应答如响
延伸,延长
遗簪堕履,遗簪脱舄
颖悟绝人,颖悟绝伦
悠久,永久
允执其中,允执厥中
因由,缘由
一览无余,一览而尽
牙签玉轴,牙签锦轴
意气风发,意气飞扬
愚不可及,愚昧无知
遗簪坠屦,遗簪堕履
友爱,友谊
鸦默雀静,鸦默鹊静
以夷伐夷,以夷制夷
要义,要旨
哑子得梦,哑子托梦
以德报怨,隐恶扬善
一拍即合,一见钟情
言从计听,言听计从
因素,要素
异曲同工,异途同归
因时制宜,因时施宜
一伙,疑心
姨妈,姨娘
应时而生,应运而生
一塌糊涂,一无可取
音讯,音问
湮没,隐蔽
一面之交,一面之雅
言之有物,言简意赅
游历,游览
以偏概全,以管窥天
以来,仰仗
优伤,忧虑
运乖时蹇,运蹇时低
云起龙襄,云起龙骧
一岁三迁,一岁九迁
以是,因此
佣中佼佼,庸中佼佼
以逸待劳,逸以待劳
远望,遥望
有口难分,有口难言
玉碎花消,玉碎香残
一串骊珠,莺歌燕语
溢美之语,言过其实
隐忍不发,隐忍不言
允许,应允
艺坛,艺林
一针见血,言简意赅
舆情,舆论
游戏,游玩
愠怒,愠恚
一举一动,一颦一笑
伊于胡底,伊何底止
运输,运送
疑人疑鬼,疑鬼疑神
遗簪坠履,遗簪坠屦
鱼目混珍,鱼目混珠
运乖时蹇,运拙时艰
鱼游沸鼎,鱼游釜中
一簧两舌,言三语四
掩盖,隐蔽
一枝独秀,一花独放
一了百当,一劳永逸
岳丈,岳父
严于律己,严以律己
依序,依次
隐然敌国,隐若敌国
易如反掌,易如翻掌
野人奏曝,野人献日
以来,以还
引诱,诱惑
运载,运送
纡朱拖紫,纡青佩紫
压迫,抑遏
意义深长,语重情长
遇事生端,遇事生风
一拍即合,遥遥相对
一挥而就,一语破的
驿使梅花,驿寄梅花
易于反掌,易如反掌
夜阑人静,夜静更深
怏怏不乐,郁郁不乐
油嘴滑舌,油腔滑调
怡悦,愉快
月黑风高,月黑风高
饮恨吞声,饮气吞声
遗策,遗筞
以狸致鼠,以狸饵鼠
一败如水,一败涂地
意兴索然,意兴阑珊
余音绕梁,余韵绕梁
有计划,野心
严刻,严厉
应天从人,应天从民
忧虑,忧郁
远亲不如近邻,远水不救近火
养虎伤身,养虎遗患
一以当十,以一当十
有眼无珠,有眼无瞳
一路平安,一路顺风
一文不值,一钱不值
源源不绝,源远流长
一挥而就,一气呵成
依赖,倚赖
摇摆,摇荡
言语,语言
尤其,越发
一呼百应,一呼百诺
以暴制暴,以杀去杀
意志,毅力
雨伞,雨遮
有利,有益
优胜,优越
鱼贯而入,鱼贯而行
一孔之见,以偏概全
一蹶不兴,一蹶不振
鹰视狼步,鹰视虎步
一支半节,一肢半节
妖怪,妖魔
圆颅方趾,圆首方足
严厉,严峻
应许,愿意
疑忌,疑惑
诒燕,诒谋
一叶障目,掩耳盗铃
言不由衷,阳奉阴违
允诺,应许
一哄而起,一应而上
鱼目混珠,鱼龙混杂
云消雾散,烟消云散
一成不易,原封不动
一无所取,一无所得
有头有尾,有始有终
舆论,议论
言无伦次,语无伦次
原故,原由
源头,源流
一以当十,用一当十
